original_comments,tokenized_comments,clean_text
centella skin 1004 ကတော့ ကိုနဲ့မတည့်ဘူး ချက်ချင်းအဆီဖုဗြုတ်လိုက်ထားလာတာ,"['centellaskin1004', 'က', 'တော့', 'ကို', 'နဲ့', 'မ', 'တည့်', 'ဘူး', 'ချက်ချင်း', 'အဆီဖု', 'ဗြုတ်', 'လိုက်', 'ထား', 'လာ', 'တာ']","['centellaskin1004', 'မ', 'တည့်', 'ချက်ချင်း', 'အဆီဖု', 'ဗြုတ်']"
Dr.G moisturizer က  oily skin အဆီဖုသမားအဆင်ပြေလားမ သူကcreamဆိုတော့ heavy ဖြစ်လား,"['Dr.', 'G', 'moisturizer', 'က', 'oily', 'skin', 'အဆီဖု', 'သမား', 'အဆင်ပြေ', 'လား', 'မ', 'သူ', 'က', 'cream', 'ဆို', 'တော့', 'heavy', 'ဖြစ်', 'လား']","['Dr', 'G', 'moisturizer', 'oily', 'skin', 'အဆီဖု', 'သမား', 'အဆင်ပြေ', 'မ', 'cream', 'heavy']"
Skin 1004 centella suncream သုံးလားဟင် ကောင်းမကောင်းသိချင်လို့ oily skin pr,"['Skin1004centellasun', 'cream', 'သုံး', 'လား', 'ဟင်', 'ကောင်း', 'မ', 'ကောင်း', 'သိ', 'ချင်', 'လို့', 'oilyskinpr']","['Skin1004centellasun', 'cream', 'သုံး', 'ကောင်း', 'မ', 'ကောင်း', 'သိ', 'လို့', 'oilyskinpr']"
အခုက 47000 လောက်ရှိသွားပီရှင့်,"['အခု', 'က', '47000', 'လောက်', 'ရှိ', 'သွား', 'ပီ', 'ရှင့်']","['အခု', '47000', 'လောက်', 'ပီ', 'ရှင့်']"
dr gလေးက ဘလောက်လဲ,"['drg', 'လေး', 'က', 'ဘလောက်', 'လဲ']","['drg', 'ဘလောက်']"
Centella skin 1004 အဆီဖုသက်သာတာ သိသာလား,"['Centellaskin1004', 'အဆီဖု', 'သက်သာ', 'တာ', 'သိ', 'သာ', 'လား']","['Centellaskin1004', 'အဆီဖု', 'သက်သာ', 'သိ', 'သာ']"
centella နဲ့ တည့်ရင် သုံးကြည့်နော် အဆီဖု သက်သာတဲ့ အပြင် glow ပါ glow စေတယ်,"['centella', 'နဲ့', 'တည့်', 'ရင်', 'သုံး', 'ကြည့်', 'နော်', 'အဆီဖု', 'သက်သာ', 'တဲ့', 'အပြင်', 'glow', 'ပါ', 'glow', 'စေ', 'တယ်']","['centella', 'တည့်', 'သုံး', 'ကြည့်', 'အဆီဖု', 'သက်သာ', 'အပြင်', 'glow', 'glow']"
လက်ရှိဒါလေးတွေသုံးနေပါတယ် အရင်ကအဆီဖုပဲရှိတာပါခုကဝက်ခြံတွေမေးရိုးကနေရောပါးရောတန်းစီထွက်လာတာအဲ့တာဘာဖြစ်တာလဲဟင်ကန်ထွက်တာလားမတည့်တာလေးတွေကဘာမှန်းမသိလို့,"['လက်', 'ရှိ', 'ဒါ', 'လေး', 'တွေ', 'သုံး', 'နေ', 'ပါ', 'တယ်', 'အရင်', 'က', 'အဆီဖု', 'ပဲ', 'ရှိ', 'တာ', 'ပါ', 'ခု', 'က', 'ဝက်ခြံ', 'တွေ', 'မေး', 'ရိုး', 'က', 'နေ', 'ရော', 'ပါး', 'ရော', 'တန်းစီ', 'ထွက်', 'လာ', 'တာ', 'အဲ့', 'တာ', 'ဘာ', 'ဖြစ်', 'တာ', 'လဲ', 'ဟင်', 'ကန်', 'ထွက်', 'တာ', 'လား', 'မ', 'တည့်', 'တာ', 'လေး', 'တွေ', 'က', 'ဘာ', 'မှန်း', 'မ', 'သိ', 'လို့']","['လက်', 'ဒါ', 'သုံး', 'အရင်', 'အဆီဖု', 'ဝက်ခြံ', 'မေး', 'ရိုး', 'ရော', 'ပါး', 'ရော', 'တန်းစီ', 'ထွက်', 'အဲ့', 'ကန်', 'ထွက်', 'မ', 'တည့်', 'မှန်း', 'မ', 'သိ', 'လို့']"
Dr.Gက dry skin သုံးမယ်ဆိုအဆင်ပြေလားရှင့်,"['Dr.Gကdryskin', 'သုံး', 'မယ်', 'ဆို', 'အဆင်ပြေ', 'လား', 'ရှင့်']","['DrG', 'dryskin', 'သုံး', 'အဆင်ပြေ']"
fraijour heartleaf moisturizer review လေး,"['fraijourheartleaf', 'moisturizer', 'review', 'လေး']","['fraijourheartleaf', 'moisturizer', 'review']"
Sensitiveသမား သုံးတဲ့ skin care အားလုံးတူနေတယ်,"['Sensitive', 'သမား', 'သုံး', 'တဲ့', 'skincare', 'အားလုံး', 'တူ', 'နေ', 'တယ်']","['Sensitive', 'သမား', 'သုံး', 'skincare', 'အားလုံး', 'တူ']"
sensitive to oily ဆိုတော့ စိတ်ညစ်တယ် ညီမလေးရေ ခုဟာတွေက sensitive to dry ဘဲ ရှိကြတော့လေ ဘာမှ မတည့်ဘူးဖစ်နေတာ,"['sensitive', 'to', 'oily', 'ဆို', 'တော့', 'စိတ်ညစ်', 'တယ်', 'ညီမလေး', 'ရေ', 'ခု', 'ဟာ', 'တွေ', 'က', 'sensitive', 'todry', 'ဘဲ', 'ရှိ', 'ကြ', 'တော့', 'လေ', 'ဘာ', 'မှ', 'မ', 'တည့်', 'ဘူး', 'ဖ', 'စ်', 'နေ', 'တာ']","['sensitive', 'to', 'oily', 'စိတ်ညစ်', 'ညီမလေး', 'sensitive', 'todry', 'ဘဲ', 'မ', 'တည့်', 'ဖ', 'စ်']"
အခုလက်ရှိ centella serumသုံးနေတာ အဖုတွေထွက်လာတာမတည့်လို့လားဟင်,"['အခု', 'လက်', 'ရှိ', 'centella', 'serum', 'သုံး', 'နေ', 'တာ', 'အဖု', 'တွေ', 'ထွက်', 'လာ', 'တာ', 'မ', 'တည့်', 'လို့', 'လား', 'ဟင်']","['အခု', 'လက်', 'centella', 'serum', 'သုံး', 'အဖု', 'ထွက်', 'မ', 'တည့်', 'လို့']"
